company_name,business_type,industry,products_services,capabilities,rating,reviews,verified,lead_time_days,moq,capacity,city,state,certifications,established_year,response_time_hours,website
Nova Raw 1,Raw Material Supplier,Nutraceutical,"Whey Protein Isolate 90%, BCAA, Cocoa Powder","Protein Powder, Mass Gainer",3.6,219,Yes,30,25 kg,50 tons/month,Ahmedabad,Maharashtra,"NABL, ISO 9001",2012,2,https://company1.example.com
Titan Raw 2,Raw Material Supplier,Furniture,"Steel Frame, Plywood, Foam","Chair, Table",3.8,23,Yes,30,250 kg,250 tons/month,Mumbai,Maharashtra,"ISO 22000, NABL, FSSAI",1998,4,https://company2.example.com
Elite Raw 3,Raw Material Supplier,Cosmetics,"Aloe Vera, Argan Oil, Shampoo Base","Shampoo, Face Wash",4.1,265,No,8,1000 kg,250 tons/month,Indore,Madhya Pradesh,"RoHS, FSSAI, NABL, ISO 9001",1996,24,https://company3.example.com
Prime Raw 4,Raw Material Supplier,Pharmaceutical,"MCC, Paracetamol API, Gelatin Capsules","Tablet, Capsule",4.0,938,No,13,250 kg,250 tons/month,Mumbai,Madhya Pradesh,"ISO 22000, WHO GMP, CE",2018,2,https://company4.example.com
Elite Raw 5,Raw Material Supplier,Pharmaceutical,"MCC, Gelatin Capsules, Paracetamol API","Tablet, Capsule",4.4,459,No,6,100 kg,50 tons/month,Indore,Telangana,"CE, ISO 22000, Kosher",2024,12,https://company5.example.com
Elite Raw 6,Raw Material Supplier,Cosmetics,"Shampoo Base, Argan Oil, Aloe Vera","Shampoo, Face Wash",4.1,552,Yes,18,5000 units,5000 pallets,Chennai,Telangana,"Halal, NABL, WHO GMP, ISO 22000",1999,12,https://company6.example.com
Nova Raw 7,Raw Material Supplier,Electronics,"PCB, Battery, OLED Display","Smartphone, Earbuds",4.3,1403,No,7,500 kg,100000 units/month,Chennai,Tamil Nadu,"CE, ISO 9001, RoHS, Halal",1998,24,https://company7.example.com
Ultra Raw 8,Raw Material Supplier,Furniture,"Steel Frame, Foam, Plywood","Chair, Table",4.1,939,Yes,19,1000 kg,100 tons/month,Chennai,Gujarat,"CE, FSSAI, ISO 22000, WHO GMP",2019,2,https://company8.example.com
Core Raw 9,Raw Material Supplier,Furniture,"Foam, Plywood, Steel Frame","Chair, Table",3.4,753,No,18,25 kg,100 tons/month,Chennai,Gujarat,"Kosher, ISO 22000",2019,12,https://company9.example.com
Ultra Raw 10,Raw Material Supplier,Pharmaceutical,"Paracetamol API, MCC, Gelatin Capsules","Tablet, Capsule",4.2,1252,No,16,1000 kg,100 tons/month,Bengaluru,Telangana,"RoHS, Kosher, CE",2009,1,https://company10.example.com
Prime Raw 11,Raw Material Supplier,Pharmaceutical,"Paracetamol API, Gelatin Capsules, MCC","Tablet, Capsule",4.3,481,Yes,3,25 kg,50 tons/month,Mumbai,Gujarat,"RoHS, ISO 22000",2011,2,https://company11.example.com
Titan Raw 12,Raw Material Supplier,Cosmetics,"Aloe Vera, Argan Oil, Shampoo Base","Shampoo, Face Wash",3.6,1179,No,18,500 kg,100000 units/month,Mumbai,Gujarat,"Halal, RoHS",2008,8,https://company12.example.com
Prime Raw 13,Raw Material Supplier,Electronics,"Battery, PCB, OLED Display","Smartphone, Earbuds",4.0,704,Yes,18,100 kg,100 tons/month,Chennai,Tamil Nadu,"Halal, WHO GMP",2003,8,https://company13.example.com
Prime Raw 14,Raw Material Supplier,Pharmaceutical,"Paracetamol API, MCC, Gelatin Capsules","Tablet, Capsule",4.4,1117,Yes,8,100 kg,100 tons/month,Hyderabad,Tamil Nadu,"FSSAI, Halal, ISO 9001",2000,8,https://company14.example.com
Ultra Raw 15,Raw Material Supplier,Nutraceutical,"Stevia, BCAA, Creatine","Protein Powder, Mass Gainer",4.0,1148,No,12,100 kg,250 tons/month,Mumbai,Gujarat,"NABL, ISO 9001, RoHS, WHO GMP",1996,1,https://company15.example.com
Titan Raw 16,Raw Material Supplier,Furniture,"Steel Frame, Plywood, Foam","Chair, Table",3.5,390,Yes,7,5000 units,100 tons/month,Hyderabad,Gujarat,"FSSAI, ISO 9001, CE, Kosher",2008,24,https://company16.example.com
Nova Raw 17,Raw Material Supplier,Furniture,"Foam, Steel Frame, Plywood","Chair, Table",4.4,653,Yes,19,500 kg,100 tons/month,Bengaluru,Madhya Pradesh,"Kosher, RoHS, Halal",2024,1,https://company17.example.com
Titan Raw 18,Raw Material Supplier,Nutraceutical,"Stevia, Whey Protein Isolate 90%, Cocoa Powder","Protein Powder, Mass Gainer",3.7,553,Yes,25,25 kg,100 tons/month,Pune,Telangana,"Kosher, CE",2014,24,https://company18.example.com
Nova Raw 19,Raw Material Supplier,Furniture,"Plywood, Steel Frame, Foam","Chair, Table",3.8,229,Yes,20,250 kg,5000 pallets,Mumbai,Madhya Pradesh,"FSSAI, CE, Kosher",2010,4,https://company19.example.com
Prime Raw 20,Raw Material Supplier,Nutraceutical,"Whey Protein Isolate 90%, Stevia, Creatine","Protein Powder, Mass Gainer",3.4,277,No,13,5000 units,100000 units/month,Chennai,Madhya Pradesh,"NABL, ISO 9001, Kosher",1997,24,https://company20.example.com
Titan Raw 21,Raw Material Supplier,Pharmaceutical,"Gelatin Capsules, Paracetamol API, MCC","Tablet, Capsule",4.2,890,Yes,5,250 kg,250 tons/month,Indore,Gujarat,"FSSAI, NABL, RoHS",1998,4,https://company21.example.com
